id,Story,StoryText,user,fun,goal,nonfun
1,story 1,"As a Data user, I want to have the 12-19-2017 deletions processed.",Data user, to have the 12-19-2017 ,NULL,NULL
2,story 2,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",UI designer, redesign the Resources page, it matches the new ,NULL
3,story 3,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",UI designer, report to the Agencies , they are aware of ,better
4,story 4,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",UI designer, move on to round , get approvals from leadership.,NULL
5,story 5,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",UI designer, move on to round , get approvals from leadership.,NULL
6,story 6,"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",UI designer, move on to round , get approvals from leadership.,NULL
7,story 7,"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",Developer, be able to log , troubleshoot issues with particular ,better
8,story 8,"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",Developer, add the updates on , I know when the ,NULL
9,story 9,"As a DevOps engineer, I want New Relic to provide useful data across all applications.",DevOps engineer, New Relic to provide ,NULL,NULL
10,story 10,"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",UI designer, move on to round , get approvals from leadership.,NULL
11,story 11,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",UI designer, move on to round , get approvals from leadership.,NULL
12,story 12,"As a Broker user, I want to Upload and Validate the error message to have accurate text.",Broker user, to Upload and Validate ,NULL,NULL
13,story 13,"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Broker user, be synced with the , I don't have to ,NULL
14,story 14,"As a Website user, I want to access published FABS files, so that I can see the new filesAs they come in.",Website user, access published FABS files, see the new filesAs ,NULL
15,story 15,"As an owner, I want to be sure that USAspending only send grant records to my system.",owner, to be sure that ,NULL,NULL
16,story 16,"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",Developer, to update the Broker ,NULL,NULL
17,story 17,"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",Developer, add the GTAS window , ensure the site is ,NULL
18,story 18,"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Developer, be managed and cached, duplicate requests do not ,NULL
19,story 19,"As a user, I want to access the raw agency published files from FABS via USAspending.",user, to access the raw ,NULL,NULL
20,story 20,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Agency user, to be able to ,NULL,NULL
21,story 21,"As a Broker user, I want  to help create content mockups, so that I can submit my data efficiently.",Broker user, help create content mockups, submit my data efficiently.,efficiently
22,story 22,"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.",UI designer, track the issues that , I know what to ,NULL
23,story 23,"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",Owner, create a user testing , know what UI improvements ,NULL
24,story 24,"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",UI designer, begin user testing, validate stakeholder UI improvement ,NULL
25,story 25,"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",UI designer, schedule user testing, give the testers advanced ,NULL
26,story 26,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",Owner, design a schedule from , I know the potential ,NULL
27,story 27,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.",Owner, design an audit from , I know the potential ,NULL
28,story 28,"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",Developer, prevent users from double , there are no duplicates.,NULL
29,story 29,"As an data user, I want to receive updates to FABS records.",data user, to receive updates to ,NULL,NULL
30,story 30,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Agency user, to be able to ,NULL,NULL
31,story 31,"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",Developer, to update the FABS ,NULL,NULL
32,story 32,"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",agency user, to ensure that deleted ,NULL,NULL
33,story 33,"As a website user, I want to see updated financialAssistance data daily.",website user, to see updated financialAssistance ,NULL,daily
34,story 34,"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",user, deactivate after I click ,not click it multiple times ,NULL
35,story 35,"As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.",Developer, to ensure that attempts ,NULL,NULL
36,story 36,"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",Owner, reset the environment to , ensure that the FABS ,NULL
37,story 37,"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",user, the flexfields in my ,NULL,NULL
38,story 38,"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.",user, to have accurate and ,NULL,NULL
39,story 39,"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.",agency user, the FABS validation rules ,NULL,NULL
40,story 40,"As an Agency user, I want FABS deployed into production, so I can submit my FinancialAssistance data.",Agency user, FABS deployed into production, I can submit my ,NULL
41,story 41,"As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.",Developer, to clarify to users ,NULL,NULL
42,story 42,"As an agency user, I want to be confident that the data coming from SAM is complete.",agency user, to be confident that ,NULL,NULL
43,story 43,"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Developer, be indexed properly, get validation results back ,proper
43,story 43,"As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Developer, be indexed properly, get validation results back ,properly
44,story 44,"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.",agency user, the FABS validation rules ,NULL,NULL
45,story 45,"As a broker team member, I want to make some updates to the SQL codes for clarity.",broker team member, to make some updates ,NULL,NULL
46,story 46,"As an agency user, I want to have all derived data elements derived properly.",agency user, to have all derived ,NULL,proper
46,story 46,"As an agency user, I want to have all derived data elements derived properly.",agency user, to have all derived ,NULL,properly
47,story 47,"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.",broker team member, to add the 00***** ,NULL,NULL
48,story 48,"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.",data user, see the office names , have appropriate context for ,NULL
49,story 49,"As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.",broker user, derive , my agency codes are ,NULL
