,Title,select ''Title'' aa union 
1,"As a Data user, I want to have the 12-19-2017 deletions processed.","select 1 id,  'As a Data user, I want to have the 12-19-2017 deletions processed.' aa union "
2,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.","select 2 id,  'As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.' aa union "
3,"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.","select 3 id,  'As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.' aa union "
4,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.","select 4 id,  'As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.' aa union "
5,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.","select 5 id,  'As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.' aa union "
6,"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.","select 6 id,  'As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.' aa union "
7,"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.","select 7 id,  'As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.' aa union "
8,"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.","select 8 id,  'As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.' aa union "
9,"As a DevOps engineer, I want New Relic to provide useful data across all applications.","select 9 id,  'As a DevOps engineer, I want New Relic to provide useful data across all applications.' aa union "
10,"As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.","select 10 id,  'As a UI designer,  I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.' aa union "
11,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.","select 11 id,  'As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.' aa union "
12,"As a Broker user, I want to Upload and Validate the error message to have accurate text.","select 12 id,  'As a Broker user, I want to Upload and Validate the error message to have accurate text.' aa union "
13,"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don''t have to regenerate a file if no data has been updated.","select 13 id,  'As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don''t have to regenerate a file if no data has been updated.' aa union "
14,"As a Website user, I want to access published FABS files, so that I can see the new filesAs they come in.","select 14 id,  'As a Website user, I want to access published FABS files, so that I can see the new filesAs they come in.' aa union "
15,"As an owner, I want to be sure that USAspending only send grant records to my system.","select 15 id,  'As an owner, I want to be sure that USAspending only send grant records to my system.' aa union "
16,"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.","select 16 id,  'As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.' aa union "
17,"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.","select 17 id,  'As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.' aa union "
18,"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.","select 18 id,  'As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.' aa union "
19,"As a user, I want to access the raw agency published files from FABS via USAspending.","select 19 id,  'As a user, I want to access the raw agency published files from FABS via USAspending.' aa union "
20,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","select 20 id,  'As an Agency user, I want to be able to include a large number of flexfields without performance impact.' aa union "
21,"As a Broker user, I want  to help create content mockups, so that I can submit my data efficiently.","select 21 id,  'As a Broker user, I want  to help create content mockups, so that I can submit my data efficiently.' aa union "
22,"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.","select 22 id,  'As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.' aa union "
23,"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.","select 23 id,  'As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.' aa union "
24,"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.","select 24 id,  'As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.' aa union "
25,"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.","select 25 id,  'As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.' aa union "
26,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.","select 26 id,  'As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.' aa union "
27,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.","select 27 id,  'As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.' aa union "
28,"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.","select 28 id,  'As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.' aa union "
29,"As an data user, I want to receive updates to FABS records.","select 29 id,  'As an data user, I want to receive updates to FABS records.' aa union "
