Story,Word,Tag
story 497,camp administrator,User
story 1956,Administrator,User
story 1098,administrator,User
story 1065,administrator,User
story 1076,administrator,User
story 1099,administrator,User
story 1061,administrator,User
story 1075,administrator,User
story 1955,Administrator,User
story 1095,administrator,User
story 1069,administrator,User
story 58,agency user,User
story 1108,anonymoususer,User
story 1109,anonymoususer,User
story 1060,anonymoususer,User
story 1110,anonymoususer,User
story 1056,anonymoususer,User
story 1059,anonymoususer,User
story 1058,anonymoususer,User
story 1057,anonymoususer,User
story 1092,anonymoususer,User
story 1089,anonymoususer,User
story 1077,anonymoususer,User
story 1101,anonymoususer,User
story 1100,anonymoususer,User
story 1103,anonymoususer,User
story 1106,anonymoususer,User
story 1088,anonymoususer,User
story 1063,anonymoususer,User
story 1067,anonymoususer,User
story 1070,anonymoususer,User
story 1086,anonymoususer,User
story 1087,anonymoususer,User
story 1097,anonymoususer,User
story 1096,anonymoususer,User
story 1074,anonymoususer,User
story 1042,anonymoususer,User
story 1043,anonymoususer,User
story 1066,anonymoususer,User
story 1949,Anyone,User
story 1049,attendee,User
story 1080,attendee,User
story 1045,attendee,User
story 1079,attendee,User
story 1081,attendee,User
story 1107,authenticateduser,User
story 1102,authenticateduser,User
story 1071,authenticateduser,User
story 1062,authenticateduser,User
story 1064,authenticateduser,User
story 1068,authenticateduser,User
story 1104,authenticateduser,User
story 1073,authenticateduser,User
story 1090,authenticateduser,User
story 1094,authenticateduser,User
story 1239,Basic Data Entry user,User
story 724,batch submitter,User
story 707,batch submitter,User
story 1287,Bath Data Archive administrator,User
story 1290,Bath Data Archive administrator,User
story 1289,Bath Data Archive administrator,User
story 1285,Bath Data Archive administrator,User
story 1288,Bath Data Archive administrator,User
story 1286,Bath Data Archive administrator,User
story 47,broker team member,User
story 55,broker team member,User
story 50,broker team member,User
story 45,broker team member,User
story 21,Broker user,User
story 13,Broker user,User
story 49,broker user,User
story 59,Broker user,User
story 83,Broker user,User
story 79,Broker user,User
story 12,Broker user,User
story 1808,buyer,User
story 1807,buyer,User
story 1809,buyer,User
story 1800,buyer,User
story 520,camp administrator,User
story 503,camp administrator,User
story 515,camp administrator,User
